slow dla 1000;fast dla 1000;5.467001;3.553911
5.462369;3.553556
5.466938;3.561578
5.456205;3.561813
5.456502;3.561780
5.461803;3.558528
slow dla 2000;fast dla 2000;90.530324;28.685394
90.512022;28.686858
90.549378;28.606688
90.552375;28.598779
90.520232;28.673838
90.532866;28.650311
slow dla 3000;fast dla 3000;357.000260;96.221487
360.141875;96.196133
360.234267;96.320715
360.214837;96.263525
360.435313;96.245196
359.605310;96.249411
slow dla 4000;fast dla 4000;867.002420;227.595316
869.948330;227.464590
870.059626;227.662513
869.934028;227.379392
870.017410;227.498059
869.392363;227.519974
slow dla 1000;fast dla 1000;2.620568;0.262719
2.616981;0.262794
2.616759;0.262496
2.616899;0.262514
2.631245;0.262120
2.620490;0.262529
slow dla 2000;fast dla 2000;62.363034;2.801642
62.290566;2.795226
62.363599;2.788408
62.312164;2.794348
62.340544;2.795500
62.333981;2.795025
slow dla 3000;fast dla 3000;265.667685;8.997285
265.691767;9.001099
265.695476;8.997847
265.696663;8.996895
265.871020;9.021770
265.724522;9.002979
slow dla 4000;fast dla 4000;642.679078;20.823685
642.649786;20.836784
642.751333;20.832046
655.309822;20.800502
657.368768;20.768794
648.151757;20.812362
